01 - KIT PINCÉIS SUPER PRÁTICO PRA LEVAR NA SUA BOLSA  COM ESTOJO E ESPELHO POR APENAS R$ 14,99 reais
02 - EXTENSÃO RÉGUA COM USB COR BRANCA COM 2 M. R$ 35,00 
03 - EXTENSÃO RÉGUA COM USB COR BRANCA COM 3 M. R$ 40,00
04 - Caixa de Som Portátil Bluetooth Kapbom KA-8507 Alto-falante Sem Fio Bluetooth 5.1  (Aproximadamente 4 horas de reprodução - não se preocupe com pequenas coisas, como carregar a bateria.) R$ 60,00
05 - Caixinha  de Som Bluetooth  Amplificada Mini Speaker 3w (Cores Vermelha preta prata) - R$ 30,00
06 - FORMAS DE PAPEL AIRFRYER ANTIADERENTE FORRO DESCARTÁVEL 50 UNIDADES - R$ 10,00
07 - GUARDA CHUVA SOMBRINHA GRANDE REFORÇADO  BORDA DE BOLINHA (COR  AZUL BORDÔ PINK  VERDE LILÁS AZUL CLARO) R$ 36,00
08 - Garrafa Térmica Super Vedada Com Um Designer Maravilhoso. (Designer de milhões 3 Cores) R$ 45,00
09 - Bolsinha Coelho Roxo (LINDAS BOLSINHAS PRA TODAS AS PRINCESAS PRA COMPLETA SEU LOOK.)   R$ 28,00
10 - Bolsinha Coelho Vermelha (LINDAS BOLSINHAS PRA TODAS AS PRINCESAS PRA COMPLETA SEU LOOK.) R$ 28,00
11 - Bolsinha Lillo (LINDAS BOLSINHAS PRA TODAS AS PRINCESAS PRA COMPLETA SEU LOOK.) R$ 28,00
12 - Bolsinha Coelho Rosa (LINDAS BOLSINHAS PRA TODAS AS PRINCESAS PRA COMPLETA SEU LOOK.) R$ 28,00
13 - SUPORTE PRA FACILITA A VIDA DOS MOTOCICLISTAS PERFEITO PRA USAR NA SUA MOTO R$ 30,00 (Cor Preta)
14 - Toalha  Lisa Touca Para Seca Cabelo Rapido Com Botão Antifrizz Grande Toalha Mágica R$ 13,00 (Varias Cores)
15 - Kit Tesouras (Cor Preta) R$ 20,00
16 - Secador De Cabelo Profissional Tomate com 3 Temperaturas e 2 Velocidades 1900 Watts MSE-2600 - R$ 110,00
17 - CAPINHA TRASPORTE PRA IPHONE 13 PRO MAX - R$ 22,00
18 - Jogo Utensílios de Cozinha Silicone Cabo de Madeira MM House (Cores . vê cores disponíveis da promoção) - R$ 69,99
19 - Garrafa portátil de água pra você usar nos passeios com seus pets por 35,00.
20 - Escova Remove Pelo de PET - R$ 35,00
21 - CÂMERA  360 WI-FI (COR BRANCA) - R$ 90,00
22 - Mini Máquina De Lavar Roupas  E 6.5L Dobrável Portátil Máquina De Lavar Automática Moderna Para Viagem Roupa Intima 25w .... R$ 180,00 (Cor   lilás rosa e verde)

